# Completeness = 197 / 236
RA	Dec	magnitude
274.406090	-36.762429	2.116495
267.464736	-37.043223	2.860071
269.772019	-30.253063	4.304892
265.712949	-36.945664	4.918717
275.248682	-29.828224	2.296982
271.451766	-30.424938	2.724311
274.513325	-27.042662	3.998162
261.838736	-29.867648	4.191681
266.890075	-27.830835	4.327284
260.839968	-28.142969	4.674060
272.930601	-23.701374	4.670570
269.948148	-23.816342	4.712597
270.712916	-24.282544	5.228346
276.992443	-25.422523	2.543506
283.542428	-22.744876	4.383552
283.780244	-22.671410	4.591194
287.440968	-21.023779	2.803014
284.432660	-21.106718	3.188719
286.171129	-21.741756	3.480196
290.418042	-17.847103	3.888252
276.337693	-20.541791	4.336602
280.729526	-19.284360	4.444408
275.036807	-15.831871	4.843679
277.299413	-14.565845	4.641750
278.180509	-14.865677	4.647184
283.679630	-15.603067	5.007891
261.592559	-24.175829	4.104882
260.252826	-21.113837	4.290967
264.396470	-15.398819	3.499006
250.393166	-17.742174	4.572637
250.473835	-19.924167	5.431900
260.207129	-12.846869	4.296322
271.950936	-17.153900	5.198946
278.801699	-8.245466	3.424219
275.915131	-8.934244	4.403005
269.756599	-9.774151	3.076987
265.353306	-12.875551	4.205563
270.121564	-3.690476	4.505628
269.198903	-4.081858	5.090751
