# Completeness = 265 / 313
RA	Dec	magnitude
143.471421	-80.941198	5.059154
131.479126	-79.504014	5.117493
158.866253	-78.607739	3.421690
124.633639	-76.919248	3.949889
125.157933	-77.484299	4.010928
136.286587	-72.602729	4.329505
136.409846	-70.538458	4.599252
142.900759	-73.080907	4.804707
157.758468	-73.221458	4.271682
157.584267	-71.992928	4.709129
159.815900	-74.493389	5.367939
176.809896	-76.617955	5.408215
160.738981	-64.394406	2.734708
176.400656	-66.728604	3.624794
177.060905	-66.814979	4.117007
166.634749	-62.424073	4.341425
146.775357	-65.071973	2.926928
153.433777	-70.037875	3.300514
146.311593	-62.507867	3.471174
154.270494	-61.332279	2.871023
158.005933	-61.685286	3.247181
156.969587	-58.739396	3.751380
160.884400	-60.566608	3.838042
107.187255	-70.498448	3.498918
115.455737	-72.606033	3.661844
126.433761	-66.137563	3.445797
121.982114	-68.616932	4.365943
124.578589	-65.613095	4.743321
104.960238	-67.915405	4.714031
95.659822	-69.983892	4.979313
119.906390	-60.587013	4.298846
122.251305	-61.303712	4.616224
119.077661	-60.526385	5.203313
137.741904	-58.966840	3.421808
139.050069	-57.541533	3.590996
133.761617	-60.644438	3.808686
142.805226	-57.034350	2.546545
149.215484	-54.567770	3.521229
143.610953	-59.229727	4.052137
142.597325	-58.361754	4.828857
130.073101	-52.921815	3.535015
131.677207	-56.769733	4.480047
128.832564	-58.009117	4.560734
128.681556	-49.944122	4.579116
136.038353	-47.097775	3.418618
131.506775	-46.041507	3.864726
134.080143	-52.723409	4.696060
130.304653	-47.317083	4.696814
