# Completeness = 150 / 178
RA	Dec	magnitude
220.913985	-35.174458	3.594247
222.158449	-36.634902	4.116181
221.246724	-35.191844	4.895011
234.255955	-28.135058	3.141330
229.457604	-30.148716	4.049004
226.017201	-25.282159	2.303412
223.583816	-24.642330	4.832326
221.936883	-26.087541	4.969911
239.712905	-26.114227	2.873515
235.070328	-23.818155	4.544677
237.744699	-25.751405	4.593921
241.701722	-20.669293	3.918366
241.851564	-20.868965	4.090471
246.025620	-20.037526	4.212595
235.486469	-19.679289	4.051939
232.064276	-16.716635	5.036469
229.095709	-22.399402	5.089524
233.881872	-14.789501	3.625443
238.456870	-16.728700	3.840686
211.593124	-26.682988	2.948431
215.773041	-27.754538	4.347290
213.223967	-10.273086	3.709856
214.777397	-13.370969	4.474489
226.656482	-16.256922	4.556368
224.192186	-11.409656	4.920499
233.545981	-10.065575	4.316157
220.765591	-5.659606	3.767125
224.295389	-4.347143	4.374847
