# Completeness = 121 / 146
RA	Dec	magnitude
5.035610	-64.869617	4.073510
10.838426	-57.463012	4.321069
17.096328	-55.245619	4.032716
12.672054	-50.986621	5.142735
22.091261	-43.319154	2.760341
22.813872	-49.072018	3.670876
28.410824	-46.303055	3.213741
28.994283	-51.607570	3.471802
40.167597	-39.855498	3.821736
39.950618	-42.891818	4.685212
28.591598	-42.497062	5.096130
29.911430	-42.030976	5.283627
37.007197	-33.811015	5.111584
10.331400	-46.084992	4.280406
7.855036	-48.803427	4.755616
21.170044	-41.492704	5.129308
15.704941	-46.397257	5.150321
6.572156	-42.307820	2.089978
2.353434	-45.748222	3.601785
21.742009	-32.543315	4.817540
23.233550	-36.865314	5.192715
31.122699	-29.296752	4.641025
25.535521	-32.327006	4.958862
14.651599	-29.357431	4.268622
22.400835	-21.629318	5.107683
