# Completeness = 20 / 44
RA	Dec	magnitude
348.974555	-9.087810	3.924721
345.635622	-6.574163	5.385575
349.850802	-5.124433	5.470503
348.892682	-3.496389	5.552912
351.733536	1.255179	4.915504
354.096551	2.102493	5.561840
350.883411	0.291387	5.673884
357.364463	1.076007	5.740946
353.538038	-1.247623	5.847972
345.178773	3.011432	5.416321
345.158111	0.185932	5.996603
344.564723	-2.395451	5.996743
345.969276	3.820003	4.470597
347.808662	5.004314	4.623736
350.086115	5.381042	4.647561
347.934090	8.720093	5.116712
