# Completeness = 23 / 50
RA	Dec	magnitude
246.005803	-39.192966	5.215097
246.132222	-37.566176	5.393765
247.060372	-37.180018	5.481141
253.990712	-33.506843	5.503320
257.198017	-30.404020	5.878305
254.157601	-30.580098	5.899565
242.758168	-29.416608	4.748892
244.574417	-28.614470	4.781785
244.886836	-30.906605	5.400348
242.468992	-33.546011	5.485478
243.593143	-33.011173	5.632356
240.664422	-29.135846	5.660765
246.166089	-29.705014	5.688203
247.551960	-25.115341	4.745399
246.396306	-23.447279	4.911818
246.395921	-23.446524	5.566172
247.845031	-26.537796	5.782963
