# Completeness = 35 / 68
RA	Dec	magnitude
292.543904	2.904069	5.153483
294.798530	5.397752	5.153899
293.282355	5.029380	5.184741
289.129363	4.834743	5.543823
292.254099	1.950305	5.773683
297.757941	10.415113	4.976175
301.034709	7.278018	5.223519
299.059531	11.423748	5.272295
300.245786	8.557674	5.292860
296.416687	7.613156	5.859817
298.012765	11.626839	5.997954
286.592732	8.229698	5.583870
283.620669	10.632451	5.627257
285.589901	8.373554	5.652167
289.971313	11.535064	6.012653
289.719805	9.617897	6.026060
294.855561	16.571094	5.406276
294.322548	16.462866	5.411448
289.913969	12.374751	5.464954
291.600623	13.024067	5.651721
289.111642	14.544641	5.661993
294.218599	11.273209	5.749049
