# Completeness = 23 / 48
RA	Dec	magnitude
125.725344	-7.543094	4.973155
122.887321	-7.772651	5.119308
127.421533	-6.318978	5.374210
126.144948	-3.751358	5.468879
126.613116	-3.987735	5.551268
131.812298	-1.897026	5.275390
131.510493	-2.048448	5.399880
128.506570	-2.151475	5.797837
125.054340	-0.909697	6.034646
130.539033	-3.049963	6.072664
118.030178	3.276996	4.943894
119.585373	2.225205	5.047312
117.924892	1.766850	5.086645
128.431096	4.756973	5.605170
120.307771	4.879920	5.643054
119.099581	4.485537	5.908556
