# Completeness = 23 / 48
RA	Dec	magnitude
331.264324	14.815853	5.284563
330.272548	13.119567	5.517865
326.131604	14.771437	5.819592
331.869711	19.475693	5.660837
328.405812	19.668478	5.682306
332.963864	16.040478	5.682814
327.892801	19.826743	5.761835
331.959380	21.702624	5.771210
320.269489	23.855438	5.289639
324.439763	19.318671	5.376538
320.995772	24.274217	5.627089
324.755532	20.265446	5.699369
329.956551	23.940774	4.710875
326.518221	22.948868	4.848323
328.075840	21.273269	4.891479
328.265752	25.925131	5.049913
324.688160	25.498786	5.916763
