# Completeness = 44 / 84
RA	Dec	magnitude
258.555878	-56.888556	4.961723
253.501168	-57.910063	5.159032
259.802087	-59.694648	5.495280
267.897798	-60.164126	5.517963
260.730039	-58.010397	5.580903
255.026103	-54.597497	5.618508
261.004478	-62.864194	5.653575
261.500271	-50.633473	4.901598
265.828887	-57.723997	5.164734
264.522592	-54.501099	5.208740
255.786307	-53.237575	5.218416
261.989967	-52.297464	5.376433
260.779740	-56.525534	5.507979
262.162169	-55.169731	5.631365
243.369673	-54.630568	4.670534
244.253881	-50.068138	4.735878
245.616567	-49.572466	5.067945
243.320675	-53.671195	5.102559
245.105375	-55.139770	5.512036
251.831862	-58.341537	5.525335
251.165517	-53.152357	5.533219
247.426344	-46.243249	5.129825
254.574683	-50.641356	5.490375
250.417598	-49.651564	5.595775
250.335082	-48.763000	5.601677
249.609483	-43.398516	5.809494
254.119619	-52.283936	5.929081
253.631481	-49.710825	5.954566
