# Completeness = 22 / 44
RA	Dec	magnitude
189.242875	17.089457	5.187177
193.051077	17.073916	5.612164
192.226019	14.122498	5.690268
193.323704	21.244859	4.772238
197.449059	16.848546	5.372578
195.290026	17.123044	5.720532
198.300671	18.726789	5.731525
196.588173	21.153192	5.975574
188.782321	18.377162	4.689930
183.038635	20.541982	5.343738
187.430292	20.895967	5.668382
189.780086	21.062519	5.226044
187.227812	25.912784	5.241875
187.362588	24.108928	5.356692
187.752274	24.567126	5.430502
188.784127	21.881294	5.461279
