# Completeness = 53 / 97
RA	Dec	magnitude
137.819312	-62.316911	3.941410
130.154229	-59.760982	4.297206
140.236589	-62.404634	4.539335
134.243330	-59.229297	4.872055
134.849240	-59.082458	5.074011
129.328367	-62.853561	5.189587
138.231844	-59.413860	5.314828
143.536578	-51.255236	4.960294
138.574699	-55.569500	5.008621
141.574670	-53.378860	5.069758
145.177065	-57.983537	5.225650
139.524318	-51.050788	5.237954
142.521154	-51.517112	5.427502
145.259821	-57.259697	5.508157
130.605596	-53.113880	4.814144
126.901945	-53.088366	5.017560
126.380417	-51.727336	5.144706
129.989810	-53.054623	5.158769
128.814629	-58.224688	5.246487
129.849166	-53.439665	5.427765
130.072588	-53.015293	5.533117
137.768290	-44.867883	4.876352
132.448417	-45.307811	4.899496
132.639391	-46.529173	5.048452
130.917785	-49.822782	5.089963
134.717585	-47.234445	5.106528
133.460786	-47.520857	5.192663
131.627248	-45.912485	5.342582
130.567444	-48.099076	5.479792
