# Completeness = 19 / 42
RA	Dec	magnitude
191.002065	-28.324133	5.025875
189.426563	-27.139312	5.316832
192.108636	-27.597665	5.391740
197.263509	-23.118249	4.652889
198.015213	-16.199883	4.896299
198.996317	-19.943611	4.926055
180.213083	-19.658951	5.235829
183.748264	-20.844213	5.560160
185.044363	-22.175845	5.838094
189.685327	-18.249991	5.927438
190.454948	-19.759023	5.931046
192.445877	-15.078928	5.489810
188.149326	-13.859348	5.652960
190.315932	-13.013863	5.751549
190.317014	-13.014865	5.752676
193.577118	-11.648523	5.988941
