# Completeness = 22 / 43
RA	Dec	magnitude
325.503348	-23.263280	4.984811
333.575254	-21.074324	5.307824
332.245793	-18.519630	5.774464
328.909675	-21.140100	5.833053
324.270186	-19.466009	4.490808
316.101101	-19.855204	4.829411
318.907981	-20.651707	4.839262
320.752232	-22.669046	4.885550
321.039935	-20.852438	5.056470
321.811616	-21.196348	5.279582
325.665304	-18.866358	4.476236
325.386355	-14.048990	4.974368
328.325463	-13.551712	4.979228
326.633869	-11.365997	5.566116
325.768296	-14.399622	5.825697
