# Completeness = 34 / 66
RA	Dec	magnitude
281.084846	39.670406	4.999559
282.470432	32.551008	5.198685
281.094954	39.612932	5.216918
279.155559	33.469041	5.385694
281.095790	39.613087	5.400982
283.431504	36.971706	5.551799
280.964796	31.926054	5.592862
283.326944	40.995274	5.057315
286.825544	36.100138	5.168311
283.717394	41.602710	5.205865
285.079435	40.683932	5.282724
287.054949	39.154895	5.494231
284.507881	38.266198	5.865942
273.911556	42.159349	5.545616
271.697773	43.451722	5.651282
275.999954	43.907707	5.746349
274.277439	40.937034	5.856407
275.988716	38.739266	5.925939
274.983334	51.347595	6.000765
271.722819	50.823224	6.032837
275.279788	49.725569	6.099893
