# Completeness = 34 / 65
RA	Dec	magnitude
113.298536	3.290569	5.521031
109.843206	2.740635	5.592915
114.144117	5.862295	5.754037
109.948794	7.142686	5.782017
113.566208	3.371701	5.815489
108.031123	5.474332	5.846698
117.257826	13.371837	5.611209
118.880936	8.862442	5.771353
119.316167	8.641111	5.779733
106.412793	9.185740	5.182930
105.964961	12.594212	5.383510
106.956235	7.471068	5.393294
108.635695	12.115748	5.430864
103.205994	8.380253	5.700460
104.107573	9.956536	5.940412
105.824555	9.138381	5.949629
115.465859	13.480352	4.931006
112.951869	17.085709	5.137375
113.401926	15.826615	5.201296
111.242346	11.669454	5.344898
113.364465	11.011646	5.714427
