# Completeness = 22 / 47
RA	Dec	magnitude
350.769131	12.313816	4.668523
347.677768	17.594252	5.246232
348.360405	11.064982	5.583681
353.481150	20.840862	4.957931
354.486904	18.400742	5.484931
355.683177	16.335770	6.071074
343.259345	16.841073	5.705932
346.870165	21.134031	5.910741
341.367272	19.366807	5.995292
344.526880	21.513033	6.021797
346.576642	18.518042	6.056362
353.983098	24.561062	5.562138
350.619088	25.918436	5.788241
353.120951	23.843497	5.846312
347.954025	26.846793	5.944586
351.918409	25.167115	5.976862
