# Completeness = 23 / 50
RA	Dec	magnitude
138.937910	-37.413178	4.496167
132.464597	-32.780731	4.958657
133.200049	-38.724007	5.078864
138.738236	-37.602454	5.633668
137.485025	-30.365618	5.582112
138.339916	-29.664270	5.716111
142.883734	-31.871850	5.854152
136.277285	-29.018218	6.138982
142.692181	-31.889301	6.182363
132.060831	-28.638831	4.896731
127.619143	-32.159274	5.095179
129.467185	-26.255055	5.230350
132.509224	-29.462963	5.588161
128.869430	-26.843405	5.827646
135.297708	-26.663953	5.895304
134.815665	-28.805933	5.987247
131.455148	-25.388022	6.054631
