# Completeness = 25 / 50
RA	Dec	magnitude
223.212689	-37.803252	4.982706
223.936389	-33.855785	5.299865
223.657928	-33.300601	5.378422
225.746876	-32.643389	5.416502
225.304754	-38.058552	5.497828
226.557934	-36.264633	5.533639
233.655547	-28.047163	4.651735
228.655453	-31.519119	4.796084
230.536366	-32.189687	5.506081
229.672050	-31.209367	5.813161
222.570917	-27.960639	3.907332
221.499609	-25.443658	5.024685
222.327990	-24.251469	5.252471
224.371594	-21.423140	5.364037
227.577473	-26.332670	5.478405
221.528320	-23.153299	5.526731
228.472070	-26.193602	5.529739
