# Completeness = 129 / 157
RA	Dec	magnitude
44.565014	-40.304575	3.228385
44.568055	-40.304622	4.315228
48.020701	-28.984870	3.801439
51.593893	-27.317242	5.685448
42.273032	-32.405189	4.179921
38.461186	-28.232355	4.925496
45.597197	-23.624717	4.066773
49.895475	-24.123001	4.729793
44.524229	-23.605777	5.371343
56.711257	-23.252077	4.113062
59.981240	-24.016141	4.584998
64.567008	-20.715171	4.808891
65.162676	-20.639666	5.364614
49.879422	-21.757720	2.589558
59.507642	-13.509013	2.270793
56.535819	-12.101324	3.650564
41.277322	-18.572409	4.330868
42.759445	-21.004108	4.522674
30.001923	-21.077940	3.283291
29.167801	-22.526894	4.407405
38.021481	-15.245178	4.594981
41.030577	-13.858794	4.205342
55.811663	-9.760084	3.275567
53.228293	-9.458168	3.465752
44.107224	-8.899117	3.583335
39.000046	-7.831859	4.723041
46.639593	-6.088597	4.247278
45.676394	-7.685485	5.102191
