# Completeness = 245 / 288
RA	Dec	magnitude
173.944994	-63.019867	3.129286
163.374239	-58.852998	3.533434
167.147403	-58.975032	3.557437
176.628224	-61.178474	3.879374
177.420892	-63.788460	4.300467
170.251414	-54.491066	3.873441
173.689812	-54.264021	4.599313
176.829548	-57.696413	4.682652
158.896940	-57.557632	3.870570
159.826486	-55.603246	4.012893
154.903030	-55.029296	4.016970
159.687356	-59.182993	4.056845
161.692865	-49.420477	2.513394
159.324532	-48.225667	3.854386
158.236764	-47.003327	4.713414
173.804765	-47.372611	4.626996
168.311153	-44.372214	5.052975
177.785754	-45.173505	4.060303
176.620521	-40.498565	4.701676
164.179793	-37.138320	4.319348
165.038739	-42.225841	4.333380
170.802724	-36.164775	4.439865
171.387673	-37.747624	4.785250
147.919289	-46.547576	4.243141
144.205534	-49.354834	4.299023
151.546648	-47.370218	4.978781
147.487925	-45.732690	5.058201
153.683084	-42.121721	3.846665
155.581439	-41.649694	4.516285
153.881629	-43.112611	4.999767
139.095962	-44.265707	4.476615
138.902547	-38.569988	4.609541
140.462805	-42.195081	4.706413
139.237647	-39.401690	4.970840
142.311195	-35.951312	4.032836
149.717322	-35.891044	5.151695
156.787497	-31.067736	3.732725
158.803364	-39.562578	4.187924
162.487358	-34.058155	5.596713
160.679782	-32.715665	5.614866
154.531542	-28.991951	5.372162
156.348536	-29.193825	6.045043
159.306617	-27.412543	4.074122
