# Completeness = 195 / 235
RA	Dec	magnitude
265.867947	4.568012	2.442325
266.973063	2.706948	3.752848
270.161320	2.931526	3.932415
271.837158	9.564198	3.712161
271.826539	8.733998	4.383688
261.933709	8.441848	5.235348
260.990086	8.852542	5.389403
270.014202	16.750869	4.313834
267.681643	11.946405	5.802195
271.251530	16.926651	6.031730
284.905417	15.067972	3.726734
281.755605	18.182028	4.311657
289.054328	21.390403	4.734439
291.369592	19.798025	4.868474
284.992041	22.814554	5.036411
284.561446	17.360872	5.170657
275.925478	21.768672	3.487343
275.074732	21.961030	4.187761
272.189540	20.814528	4.334155
281.415481	20.544817	4.078641
283.687052	22.645081	4.341644
255.782912	14.091670	4.059278
260.078666	18.056828	4.244999
263.414121	16.317300	5.412944
267.103316	20.565462	5.437513
253.841831	18.433263	4.854032
258.757857	24.838506	3.130809
262.684717	26.110718	3.909734
260.225763	24.499429	5.106127
269.441608	29.247795	3.464802
271.507859	22.218845	3.955155
274.794547	24.446081	4.753304
271.885630	28.762527	3.832115
272.975573	31.405458	4.023982
266.613214	27.717275	3.238405
269.625616	30.189291	4.277984
267.595541	29.322350	5.217624
269.063271	37.250566	3.474140
274.965363	36.064730	3.997497
272.008802	36.400440	5.165745
