pl_name,hostname,ra,dec,sy_dist,sy_plx,sy_gaiamag
BD+55 362 b,BD+55 362,23.9636676,56.6982282,52.5697000,18.9935000,9.1530500
BD+60 1417 b,BD+60 1417,190.8875453,60.0143636,44.9543000,22.2159000,9.1743900
BD+63 1405 b,BD+63 1405,271.3979337,63.6700064,38.0473000,26.2541000,8.7050000
BD-06 1339 b,BD-06 1339,88.2511811,-5.9963378,20.2695000,49.3062000,9.1067700
BD-06 1339 c,BD-06 1339,88.2511811,-5.9963378,20.2695000,49.3062000,9.1067700
BD-08 2823 b,BD-08 2823,150.1971964,-9.5165689,41.3342000,24.1641000,9.5033100
BD-08 2823 c,BD-08 2823,150.1971964,-9.5165689,41.3342000,24.1641000,9.5033100
BD-10 3166 b,BD-10 3166,164.6191243,-10.7704227,84.4069000,11.8187000,9.8398100
BD-11 4672 b,BD-11 4672,278.3688659,-11.6370481,27.1665000,36.7812000,9.4851100
BD-11 4672 c,BD-11 4672,278.3688659,-11.6370481,27.1665000,36.7812000,9.4851100
BD-13 2130 b,BD-13 2130,114.2884692,-13.9066703,925.2140000,1.0540200,9.6997100
BD-14 3065 b,BD-14 3065 A,153.6696689,-15.6428372,589.4230000,1.6684800,10.9100000
BD-17 63 b,BD-17 63,7.1413494,-16.2273254,34.4603000,28.9903000,9.2011200
BD-210397 b,BD-210397,33.3024198,-21.1962147,23.7324000,42.1075000,9.2596200
BD-210397 c,BD-210397,33.3024198,-21.1962147,23.7324000,42.1075000,9.2596200
CD Cet b,CD Cet,48.3530155,4.7751881,8.6071500,116.1540000,12.1232000
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,224.6208333,10.2286111,,,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,246.9342770,-23.9811500,,,
CHXR 73 b,CHXR 73,166.6193985,-77.6258725,190.3740000,5.2343500,17.2934000
CI Tau c,CI Tau,68.4667685,22.8416192,157.9980000,6.3007900,12.1454000
COCONUTS-2 b,COCONUTS-2 A,117.3009140,-76.7026960,10.8864000,91.8291000,10.1460000
CT Cha b,CT Cha,166.0375038,-76.4553693,190.7200000,5.2144400,11.7733000
CoRoT-1 b,CoRoT-1,102.0798591,-3.1021394,787.9090000,1.2417600,13.4570000
CoRoT-10 b,CoRoT-10,291.0636813,0.7460143,338.3860000,2.9269400,14.6645000
CoRoT-11 b,CoRoT-11,280.6872998,5.9376586,655.0370000,1.5007100,12.8410000
CoRoT-12 b,CoRoT-12,100.7656871,-1.2964437,1126.3700000,0.8612340,15.3453000
CoRoT-13 b,CoRoT-13,102.7211432,-5.0864557,1148.9300000,0.8439470,14.9147000
CoRoT-14 b,CoRoT-14,103.4242023,-5.5360385,1744.6000000,0.5473580,15.8116000
CoRoT-16 b,CoRoT-16,278.5246658,-6.0026026,732.4090000,1.3405600,15.6507000
CoRoT-17 b,CoRoT-17,278.6992360,-6.6122880,1176.1200000,0.8233800,15.4368000
CoRoT-18 b,CoRoT-18,98.1724172,-0.0316045,764.8890000,1.2806300,14.8009000
CoRoT-19 b,CoRoT-19,97.0335983,-0.1707293,790.6630000,1.2376400,13.7831000
CoRoT-2 b,CoRoT-2,291.7770457,1.3836634,213.2830000,4.6607600,12.2489000
CoRoT-20 b,CoRoT-20,97.7204249,0.2268931,844.0610000,1.1569900,14.4686000
CoRoT-20 c,CoRoT-20,97.7204249,0.2268931,844.0610000,1.1569900,14.4686000
CoRoT-21 b,CoRoT-21,101.0526207,-0.2991544,,,15.8558000
CoRoT-22 b,CoRoT-22,280.6671392,6.2191669,627.1580000,1.5662400,13.7305000
CoRoT-23 b,CoRoT-23,279.7826586,4.3577516,1060.9700000,0.9154200,15.0681000
CoRoT-24 b,CoRoT-24,101.9225430,-3.7192892,591.5550000,1.6632900,15.1801000
CoRoT-24 c,CoRoT-24,101.9225430,-3.7192892,591.5550000,1.6632900,15.1801000
CoRoT-25 b,CoRoT-25,280.6296561,6.5138223,1103.4800000,0.8788530,14.7110000
CoRoT-26 b,CoRoT-26,279.7504991,6.9697828,1045.1800000,,15.4682000
CoRoT-27 b,CoRoT-27,278.4958319,5.5383811,1010.2800000,0.9660400,15.3902000
CoRoT-28 b,CoRoT-28,278.6883216,5.5736911,766.1830000,1.2768500,13.4119000
CoRoT-29 b,CoRoT-29,278.9020691,6.4795703,806.5070000,1.2156200,15.2394000
CoRoT-3 b,CoRoT-3,292.0552827,0.1218359,768.7710000,1.2747200,13.2188000
CoRoT-30 b,CoRoT-30,277.6011767,6.8359338,1032.2300000,0.9424470,15.4130000
CoRoT-31 b,CoRoT-31,94.8207350,-4.4222978,2005.7600000,0.4700260,15.4655000
CoRoT-35 b,CoRoT-35,289.3143526,-2.7747085,1123.2100000,0.8639750,15.2625000
CoRoT-36 b,CoRoT-36,277.7510149,7.1833465,925.9580000,1.0522700,12.9515000
CoRoT-4 b,CoRoT-4,102.1946233,-0.6727861,726.4120000,1.3484400,13.5613000
CoRoT-5 b,CoRoT-5,101.2772396,0.8152163,882.4720000,1.1054000,13.9021000
CoRoT-6 b,CoRoT-6,281.0725563,6.6632062,645.2940000,1.5215200,13.7459000
CoRoT-7 b,CoRoT-7,100.9561682,-1.0630076,159.9060000,6.2250400,11.5239000
CoRoT-7 c,CoRoT-7,100.9561682,-1.0630076,159.9060000,6.2250400,11.5239000
CoRoT-7 d,CoRoT-7,100.9561682,-1.0630076,159.9060000,6.2250400,11.5239000
CoRoT-8 b,CoRoT-8,291.5885696,1.4262972,322.0370000,3.0766200,14.2195000
CoRoT-9 b,CoRoT-9,280.7866461,6.2040783,412.9800000,2.3929500,13.5008000
CoRoTID 223977153 b,CoRoTID 223977153,100.1951714,9.2573953,576.6830000,1.7058900,13.5867000
DE CVn b,DE CVn,201.7207198,45.5455449,30.5225000,32.7338000,11.9752000
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,125.7620668,-49.2003008,,,18.5577000
DH Tau b,DH Tau,67.4231674,26.5493897,134.8460000,7.3879900,12.4961000
DMPP-1 b,DMPP-1,86.7761233,-10.6303217,62.5388000,15.9613000,7.8503200
DMPP-1 c,DMPP-1,86.7761233,-10.6303217,62.5388000,15.9613000,7.8503200
DMPP-1 d,DMPP-1,86.7761233,-10.6303217,62.5388000,15.9613000,7.8503200
DMPP-1 e,DMPP-1,86.7761233,-10.6303217,62.5388000,15.9613000,7.8503200
DMPP-2 b,DMPP-2,27.4077310,-34.4590985,137.9400000,7.2208400,8.4582400
DMPP-3 A b,DMPP-3 A,91.6243820,-72.5126648,45.2300000,22.1100000,
DMPP-4 b,DMPP-4,293.5826648,51.2358069,25.3284000,39.4525000,5.6003700
DP Leo b,DP Leo,169.3162193,17.9615717,305.6840000,3.2780700,18.6333000
DS Tuc A b,DS Tuc A,354.9154673,-69.1960430,44.0622000,22.6663000,8.3192600
EPIC 201170410.02,EPIC 201170410,170.1408561,-4.8070039,,,16.4386000
EPIC 201238110 b,EPIC 201238110,179.7058532,-3.3894613,159.2590000,6.2508800,15.2612000
EPIC 201427007 b,EPIC 201427007,184.6021322,-0.5512886,706.3910000,1.3870400,14.1470000
EPIC 201497682 b,EPIC 201497682,168.9366786,0.4880606,253.0260000,3.9233900,13.7368000
EPIC 201595106 b,EPIC 201595106,183.7203635,1.9681688,232.1000000,4.2803400,11.6477000
EPIC 201615463 c,K2-166,185.1880932,2.2823788,476.8820000,2.0687700,11.9456000
EPIC 201754305 d,K2-16,175.0972238,4.5574311,334.9670000,2.9569100,14.3234000
EPIC 201757695.02,EPIC 201757695,173.9385102,4.6164303,,,
EPIC 201833600 c,K2-50,169.4836540,5.9882890,257.4430000,3.8561600,14.2575000
EPIC 201841433 b,EPIC 201841433,175.2067520,6.1348146,436.4880000,2.2627400,14.5885000
EPIC 205950854 c,K2-168,333.1100738,-16.3418863,243.9350000,4.0723500,12.0976000
