# Completeness = 5063 / 10000
RA	Dec	magnitude
44.957535	47.220801	5.203191
45.217752	52.351623	5.246113
44.211076	51.261164	5.609264
42.923704	46.841832	5.629792
44.138730	47.164009	5.638136
48.349578	48.176877	5.678236
48.110575	47.725501	5.798303
49.050832	50.937587	4.678598
52.342034	49.508820	4.754910
52.012949	49.062754	4.954242
49.781988	50.094861	5.009382
52.500402	55.451754	5.087484
35.589315	55.845645	5.057103
34.500038	57.899846	5.399425
40.748441	53.525968	5.546828
34.518991	57.516316	5.674918
40.762097	55.105922	5.736586
33.389636	53.058586	5.844090
38.027257	50.180852	5.893903
44.102668	64.332444	5.246683
43.988525	61.521275	5.468521
46.417501	56.068864	5.816554
46.829029	64.057630	5.867428
42.378075	57.084313	5.885880
59.356089	63.072292	4.933300
55.678052	59.969400	5.003071
65.167723	65.140422	5.049634
64.283966	57.860204	5.410627
64.433081	62.346628	5.669999
85.610200	65.697553	5.254742
72.805580	68.168776	5.267176
72.274503	61.507294	5.674188
56.509693	63.344988	4.491409
57.589878	71.332080	4.575176
49.997081	65.652226	4.659038
61.513354	68.679985	5.236513
57.307538	70.870773	5.384936
84.931996	75.043992	5.495653
76.053557	73.763827	5.548585
81.247443	73.707189	5.621832
63.436895	72.126000	5.780776
79.555139	73.267972	5.805420
23.357163	58.327311	5.076425
24.531552	57.977603	5.102050
26.942677	63.851408	5.410397
32.169070	58.423600	5.476785
25.832438	60.551280	5.762020
29.000302	68.685194	4.938846
39.400757	65.745297	5.212021
29.908856	64.621529	5.270163
30.750773	64.390008	5.480928
25.586160	68.042985	5.545116
10.514136	66.147558	5.542423
17.856960	64.202593	5.546751
17.922754	65.018798	5.553751
16.080301	61.580073	5.692847
14.629914	66.351736	5.962488
25.733786	70.622463	5.169517
17.664276	68.778504	5.318598
11.942149	74.847536	5.389368
12.040050	72.674546	5.584106
11.412556	74.987969	5.630169
39.508049	72.818322	4.926409
52.580890	71.863901	5.248961
42.994835	68.888466	5.731104
48.571760	74.243033	5.761088
80.637840	79.231871	4.956077
66.762556	80.824072	5.098255
50.083664	77.734465	5.397398
72.210491	75.940625	5.898362
38.629301	76.717922	5.590299
30.737535	77.916239	5.703299
20.944903	78.726075	5.941478
17.299955	80.011408	5.989373
20.080418	77.571090	6.070972
53.087172	84.910434	5.390020
41.949054	81.448162	5.485071
67.055092	83.807845	5.538429
13.723779	83.707330	5.570890
62.517671	86.625752	5.740091
136.493112	5.092283	4.634946
135.686687	7.298275	5.548754
135.380646	5.640968	5.783391
134.154321	4.236571	5.878469
145.286991	9.892142	3.420801
130.801328	12.680879	5.493721
131.187582	10.081587	5.609025
128.961824	6.619622	5.812667
131.733123	12.109728	5.871815
129.273909	9.655561	5.903033
128.437552	13.257101	5.931513
133.981376	11.625967	4.989591
133.845332	17.231302	5.015676
134.794485	18.134556	5.169844
134.312570	15.322857	5.195100
134.566594	10.845055	5.304704
146.597124	11.810122	5.116062
144.260690	16.437937	5.363683
147.758352	13.066207	5.766979
154.932943	19.469961	4.657147
150.703884	21.949235	5.631001
141.385029	16.585478	6.065199
148.189835	26.006706	3.530155
142.930035	22.967820	3.670779
147.970998	24.394587	5.233123
119.895974	13.242097	5.639002
123.248819	16.514249	5.785110
127.155518	14.210770	5.910263
123.055171	17.647820	5.931850
120.376220	16.455287	5.984581
126.456931	17.045596	5.998645
127.898596	18.094167	4.640707
128.176847	20.440965	4.959186
125.840769	18.332075	5.914783
127.921972	18.987637	5.965887
120.197066	17.308685	5.210528
118.916155	19.883790	5.358675
