RA,Dec,magnitude
261.348555,-56.377786,3.304689
70.110580,-19.671908,3.308113
183.857348,57.032653,3.311102
303.868019,47.714216,3.317127
335.008503,-80.439939,3.318115
21.005505,-8.184157,3.318578
12.285227,57.812728,3.320067
176.464737,6.528562,3.320959
313.702664,-58.454254,3.322984
304.513844,-12.544841,3.327416
347.361905,-21.172281,3.327974
176.511644,47.779532,3.328719
116.111711,24.397771,3.339139
168.559745,15.429221,3.339625
60.224219,-62.159127,3.346067
154.172666,23.417280,3.346777
237.184660,18.141172,3.348804
342.397860,-13.592800,3.350818
28.599189,63.670018,3.354666
221.965343,-79.044826,3.362282
302.195040,-66.187091,3.364138
245.086454,-78.695914,3.366725
137.661599,30.962986,3.368750
203.672067,-0.595618,3.373845
67.166081,15.870784,3.377908
207.375997,-41.687803,3.378937
51.203028,9.028539,3.382374
22.870999,15.345818,3.382859
268.382968,56.872993,3.384271
113.980461,26.895273,3.386472
118.054230,-40.575749,3.393327
312.955332,-26.919144,3.399040
66.009555,-34.016634,3.400128
64.948886,15.627538,3.402757
354.392041,46.456277,3.404353
311.239085,-66.203166,3.405488
240.030433,-38.396826,3.407868
207.368908,15.798083,3.410040
136.038353,-47.097775,3.418618
145.286991,9.892142,3.420801
158.866253,-78.607739,3.421690
137.741904,-58.966840,3.421808
278.801699,-8.245466,3.424219
207.403981,-42.473815,3.426197
27.865310,-10.335213,3.427763
190.412427,-1.449023,3.433299
286.562159,-4.882960,3.433643
119.194435,-52.982241,3.441479
126.433761,-66.137563,3.445797
154.273152,42.914194,3.446242
349.294785,3.282369,3.449239
311.934329,-5.027880,3.449377
348.580823,-6.049875,3.453988
110.030594,21.982239,3.457126
269.441608,29.247795,3.464802
53.228293,-9.458168,3.465752
144.964212,-1.143089,3.466299
177.677121,1.763519,3.468565
146.311593,-62.507867,3.471174
87.831490,-20.881972,3.471287
28.994283,-51.607570,3.471802
269.063271,37.250566,3.474140
60.170040,12.490288,3.475632
86.114391,-22.450023,3.476823
286.171129,-21.741756,3.480196
298.828509,6.404627,3.481975
342.139504,-51.317143,3.487227
275.925478,21.768672,3.487343
276.743291,-45.968696,3.488739
151.833130,16.762660,3.490714
102.460199,-32.508459,3.491103
249.093714,-35.255284,3.491360
163.328359,34.213654,3.494125
107.187255,-70.498448,3.498918
264.396470,-15.398819,3.499006
111.431035,27.797701,3.506550
65.734225,17.542391,3.516044
56.053175,-64.806543,3.516560
149.215484,-54.567770,3.521229
73.133183,14.250398,3.525230
63.500728,-42.295271,3.526655
83.784497,9.934150,3.528103
103.546874,-12.038692,3.529454
321.666776,-22.411215,3.530039
148.189835,26.006706,3.530155
324.010798,45.374591,3.531106
163.374239,-58.852998,3.533434
130.073101,-52.921815,3.535015
47.375221,44.856842,3.535792
337.382600,47.706882,3.536360
207.858082,64.723278,3.538004
106.027177,20.570294,3.539513
86.738857,-14.821954,3.541044
253.083870,-38.017637,3.542674
289.276144,53.369005,3.544013
