RA,Dec
253.217688,-30.932309
253.226957,-30.928306
253.226681,-30.925810
253.227250,-30.925565
253.224660,-30.926525
253.222796,-30.926890
253.223885,-30.925419
253.226497,-30.923960
253.225746,-30.923444
253.223230,-30.924156
253.222956,-30.921963
253.225723,-30.936095
253.222226,-30.931388
253.217762,-30.929045
253.219713,-30.925913
253.225552,-30.933422
253.216491,-30.931249
142.606211,-50.235150
142.614280,-50.236535
142.619700,-50.239277
142.609519,-50.242108
142.605143,-50.240468
142.612608,-50.234569
142.623770,-50.233113
142.621537,-50.230696
142.619998,-50.227894
142.619875,-50.217885
142.623700,-50.235401
142.626197,-50.226204
142.623026,-50.233100
142.629678,-50.228268
142.623994,-50.219752
316.675380,41.393598
316.665277,41.402062
316.663537,41.396130
316.670139,41.390506
316.667850,41.400719
316.664488,41.402533
316.667902,41.406337
316.675037,41.403575
316.663946,41.395164
316.711618,41.364323
316.715973,41.370010
316.714977,41.371423
316.704724,41.372748
316.714159,41.375143
316.708332,41.377001
318.799938,41.851376
318.799659,41.854163
318.798787,41.845226
318.813715,41.848028
318.807738,41.844963
318.794158,41.848313
318.807333,41.849044
318.811618,41.846780
318.820184,41.857134
318.815422,41.864172
318.817534,41.866862
318.817396,41.851579
318.821966,41.855130
318.817531,41.861053
318.810770,41.864137
91.552781,53.434633
91.549129,53.434433
91.566651,53.427110
91.553489,53.429143
91.557139,53.425042
91.546236,53.427723
91.561108,53.437175
91.539670,53.412026
91.542066,53.418096
91.543482,53.423598
91.519236,53.436176
91.505045,53.423241
91.514923,53.425723
91.487321,53.434826
259.302662,-43.326847
259.303038,-43.320665
259.309032,-43.320142
259.310346,-43.329427
259.307973,-43.325947
259.302192,-43.326158
259.300815,-43.322900
259.302249,-43.320813
259.296826,-43.323299
259.293955,-43.319641
259.298676,-43.316003
259.294060,-43.311687
259.292214,-43.312425
259.293169,-43.310915
254.544665,-31.921954
254.248676,-31.695787
254.266044,-31.694023
254.254241,-31.694877
254.250812,-31.693392
254.260857,-31.696545
254.260395,-31.693653
254.259887,-31.689911
254.255627,-31.687522
254.258420,-31.699132
254.250922,-31.690401
254.252948,-31.696265
254.258247,-31.685168
254.257339,-31.689452
254.257989,-31.688787
254.259867,-31.688497
251.776429,-33.767083
251.786967,-33.764952
251.783855,-33.763676
251.784034,-33.768825
251.785793,-33.764470
251.783761,-33.774248
251.786595,-33.767227
251.786169,-33.766726
251.779608,-33.767163
251.785926,-33.763424
251.785512,-33.762530
251.785302,-33.762807
251.783833,-33.761384
251.787483,-33.770296
251.781901,-33.773072
318.810982,41.865086
318.813882,41.866295
318.817117,41.860330
318.817700,41.864971
318.819764,41.866265
318.816833,41.855081
318.788700,41.857368
318.790036,41.853779
318.795378,41.868255
318.793191,41.857816
318.799459,41.865937
318.790850,41.861876
318.784666,41.859833
318.793836,41.850426
318.798879,41.859905
253.219923,-30.928598
253.227258,-30.926240
253.216089,-30.932208
253.226449,-30.927485
253.221966,-30.938241
253.222144,-30.939223
253.225074,-30.925602
253.224133,-30.927045
253.225633,-30.927189
253.230455,-30.926673
253.232100,-30.928296
253.227750,-30.930586
253.223218,-30.940316
253.227930,-30.934551
253.224876,-30.931579
253.223946,-30.921676
253.224780,-30.936410
253.219447,-30.936619
253.224457,-30.932299
142.618594,-50.230878
142.629122,-50.230324
142.609773,-50.226387
142.620410,-50.219984
142.621741,-50.235713
142.628012,-50.226983
142.631523,-50.226053
142.622549,-50.229828
142.571358,-50.255037
142.574261,-50.250637
142.569464,-50.249203
142.582899,-50.248950
142.564017,-50.248376
142.579812,-50.245196
253.408221,-30.623411
259.292828,-43.309777
259.306295,-43.328839
259.309603,-43.322197
259.299069,-43.320498
259.292587,-43.318599
259.293859,-43.309063
259.298126,-43.314164
259.300838,-43.313676
259.302852,-43.314078
259.296162,-43.322502
259.299649,-43.322420
259.297646,-43.323902
259.307230,-43.320473
259.309841,-43.322786
259.306758,-43.325351
259.309399,-43.327214
91.515169,53.425967
91.503315,53.442627
91.495755,53.440085
91.510551,53.435329
91.511245,53.440381
91.489772,53.440608
91.494919,53.448524
91.530720,53.441514
91.542324,53.435230
91.540467,53.443953
91.542787,53.448688
91.538204,53.444125
91.509151,53.445319
91.489200,53.453121
91.494348,53.454423
254.543042,-31.913969
318.798092,41.855920
318.800343,41.864654
318.790113,41.867569
318.791367,41.852212
318.793474,41.854372
318.794005,41.856321
318.785467,41.860889
318.790276,41.862966
318.807911,41.865471
318.809645,41.869675
318.798289,41.871839
318.796184,41.873410
318.801659,41.869598
318.803771,41.881789
253.407023,-30.612441
316.715455,41.378329
316.713913,41.386199
316.724165,41.373790
316.718136,41.370023
316.716509,41.370073
316.721075,41.375441
316.720829,41.374907
316.722864,41.373533
316.711499,41.381270
316.712017,41.364779
316.707835,41.371655
316.715842,41.365591
316.708472,41.367786
316.721056,41.382879
316.727152,41.383589
254.257511,-31.704044
254.255622,-31.704353
254.259116,-31.701271
254.259075,-31.701441
254.265001,-31.696882
254.255921,-31.703085
254.262711,-31.698364
254.264396,-31.695957
254.264934,-31.696005
254.265572,-31.694886
254.265466,-31.695194
254.258104,-31.700049
254.263389,-31.696331
254.263751,-31.696096
254.259137,-31.698829
254.256593,-31.700399
318.805460,41.866756
318.801461,41.866026
318.808710,41.870054
318.799728,41.876891
318.807408,41.879836
318.799434,41.874799
318.807773,41.880534
318.803086,41.866531
318.805458,41.883560
318.805467,41.871696
318.801452,41.867615
318.761413,41.842809
318.759352,41.853624
318.762986,41.857460
318.761667,41.842982
251.778023,-33.770671
251.775859,-33.769751
251.787446,-33.762236
251.785208,-33.763650
251.785818,-33.777523
251.784518,-33.776419
251.788209,-33.774490
251.785501,-33.774191
251.793276,-33.769021
251.782213,-33.771895
251.784350,-33.770884
251.793278,-33.768118
251.793408,-33.766326
251.789396,-33.764851
251.781831,-33.766527
251.778370,-33.766628
251.789680,-33.762782
259.297035,-43.314581
259.297632,-43.318407
259.297820,-43.320097
259.303433,-43.320269
259.312237,-43.319942
259.304968,-43.317680
259.310108,-43.331476
259.309170,-43.329738
259.299210,-43.313009
259.292460,-43.317533
259.292644,-43.315006
259.293517,-43.314221
259.292987,-43.311909
259.304481,-43.324323
259.303441,-43.322581
259.305090,-43.327619
259.308474,-43.325140
259.296410,-43.322948
259.300454,-43.322283
91.503230,53.455307
91.506028,53.449587
91.496933,53.448836
91.513475,53.456687
91.511774,53.464006
91.495910,53.464144
91.495576,53.463542
91.502631,53.461234
91.584883,53.437538
91.577583,53.448939
91.584525,53.441620
91.578077,53.442609
91.580653,53.455918
91.590358,53.445284
254.535846,-31.910142
142.576557,-50.243091
142.568964,-50.239889
142.566850,-50.248342
142.573349,-50.256935
142.577037,-50.255396
142.577046,-50.253270
142.569636,-50.247852
142.581283,-50.249261
142.582553,-50.249829
142.583594,-50.248836
142.577683,-50.244435
142.575023,-50.244102
142.569766,-50.238210
142.567732,-50.251392
142.575040,-50.253006
253.420908,-30.616164
318.763278,41.855398
318.762606,41.856248
318.753514,41.849199
318.760422,41.837487
318.756195,41.842309
318.760717,41.855740
318.770496,41.860536
318.771368,41.862825
318.767608,41.852204
318.766031,41.858270
318.780210,41.859946
318.775168,41.864356
318.766335,41.862086
318.774372,41.855503
318.748927,41.863022
253.220005,-30.931683
253.221764,-30.930161
253.216687,-30.929625
253.231367,-30.933051
253.231001,-30.927026
253.227869,-30.927662
253.227672,-30.925219
253.227701,-30.923706
253.224488,-30.922678
253.222516,-30.921777
253.229790,-30.932799
253.223180,-30.933642
253.219876,-30.926884
253.220152,-30.927270
253.217805,-30.926983
253.215587,-30.930476
253.216817,-30.928146
316.717331,41.385459
316.732303,41.390172
316.724978,41.392649
316.724119,41.387674
316.723610,41.378593
316.727487,41.383267
316.725673,41.381020
316.725157,41.382871
316.720189,41.381934
316.727164,41.382796
316.723489,41.387890
316.717603,41.389475
316.719486,41.390266
316.728993,41.393575
316.732395,41.387091
318.847429,42.568200
254.256412,-31.700653
254.258379,-31.698854
254.255549,-31.701001
254.257175,-31.699577
254.263766,-31.695041
254.261387,-31.696257
254.257006,-31.698819
254.259433,-31.696819
254.264243,-31.693008
254.255802,-31.698944
254.256864,-31.697489
254.260160,-31.694303
254.260299,-31.694651
254.260108,-31.694909
254.254564,-31.698602
318.749205,41.848886
318.752849,41.857639
318.755366,41.861187
318.748012,41.860186
318.751165,41.863392
318.742095,41.861597
318.746460,41.858988
318.754529,41.863712
318.754013,41.860345
318.763325,41.864899
318.756079,41.867257
318.760269,41.872152
318.757848,41.876850
318.767074,41.878013
251.784373,-33.763104
251.783288,-33.763415
251.778121,-33.764127
251.780231,-33.762504
251.783242,-33.760742
251.783910,-33.758328
251.773876,-33.767738
251.780770,-33.762549
251.792266,-33.769308
251.790138,-33.773304
251.786207,-33.775607
251.791093,-33.771479
251.779970,-33.767396
251.779134,-33.764022
251.775270,-33.768734
251.785901,-33.773270
251.781102,-33.768818
91.593296,53.446162
91.589607,53.449807
91.575181,53.462679
91.580001,53.458374
91.579777,53.452846
91.566890,53.451121
91.571187,53.451418
91.556638,53.456520
91.545792,53.469752
91.566829,53.455193
91.560268,53.468324
91.554341,53.470106
91.555303,53.465862
91.552820,53.463146
91.594324,53.457147
316.723795,41.382142
316.700006,41.379032
316.705127,41.380018
316.707637,41.383395
316.695837,41.384556
316.704973,41.386728
316.694493,41.389411
316.706591,41.390580
316.699636,41.386453
316.693511,41.387166
316.704835,41.390008
316.707262,41.379254
316.713060,41.385464
316.709162,41.390170
259.302682,-43.306614
259.301298,-43.300312
259.297897,-43.305953
259.300033,-43.304068
259.304921,-43.301791
259.306743,-43.304508
259.308902,-43.314395
259.310235,-43.317605
259.311097,-43.314448
259.312519,-43.314294
259.307770,-43.315667
259.307741,-43.313790
259.306532,-43.314468
259.310478,-43.309820
318.762588,41.882614
318.755885,41.878359
318.766656,41.876827
318.756671,41.870918
318.766834,41.877260
318.756187,41.873654
318.767838,41.876534
318.757321,41.878492
318.781523,41.876289
318.786351,41.865921
318.791336,41.873957
318.786946,41.872362
318.783441,41.870890
318.779443,41.869234
318.779841,41.877095
318.784816,41.879592
142.581065,-50.245976
142.579121,-50.256078
142.570384,-50.243220
142.578203,-50.255805
142.576819,-50.244555
142.587332,-50.246091
142.581237,-50.243161
142.576149,-50.240949
142.578123,-50.238054
142.574574,-50.237562
142.595229,-50.236731
142.582724,-50.234207
142.578567,-50.229581
142.582288,-50.226918
253.227813,-30.925100
253.225055,-30.926221
253.202096,-30.933891
253.200404,-30.933646
253.193522,-30.930889
253.198424,-30.930393
253.200876,-30.928736
253.205466,-30.926907
253.200768,-30.924936
253.203875,-30.933433
253.195286,-30.928026
253.198750,-30.925902
253.197024,-30.935356
253.198472,-30.933249
254.253156,-31.699379
254.261246,-31.693807
254.260473,-31.692983
254.256500,-31.696149
254.251437,-31.699507
254.251273,-31.699181
254.254812,-31.696879
254.263499,-31.690887
254.258184,-31.693403
254.253740,-31.696383
254.254077,-31.696137
254.252075,-31.696954
254.258648,-31.692307
254.260503,-31.691000
254.256660,-31.693524
254.254736,-31.695698
316.696595,41.386879
316.692815,41.386971
316.692639,41.386737
316.704830,41.381791
316.707525,41.388251
316.699070,41.392213
316.708967,41.390895
316.702701,41.380334
316.703215,41.390649
316.696504,41.387739
316.695287,41.389736
316.711164,41.383578
316.717886,41.392641
316.724278,41.398521
251.785498,-33.759619
251.779326,-33.769355
251.789100,-33.768690
251.739462,-33.797510
251.734556,-33.790089
251.747164,-33.789272
251.744216,-33.785733
251.740687,-33.782985
251.738818,-33.781472
251.733517,-33.787154
251.737281,-33.785590
251.737630,-33.782698
251.744239,-33.794684
253.450735,-30.589297
251.739894,-33.797326
318.783511,41.883424
318.783441,41.880638
318.782879,41.882569
318.779586,41.874764
318.788044,41.866187
318.790411,41.868297
318.785153,41.871901
318.785353,41.877281
318.786830,41.878021
318.788252,41.884672
318.799324,41.889139
318.791284,41.891485
318.800129,41.883009
318.785579,41.885958
91.595548,53.463956
91.582799,53.478850
91.588232,53.481969
91.591613,53.475698
91.592084,53.477906
91.559522,53.470784
91.561499,53.474371
91.549821,53.481798
91.560297,53.474267
91.568429,53.479798
91.558574,53.485572
91.559134,53.490428
91.540855,53.459390
91.521861,53.464729
259.306337,-43.312407
259.307122,-43.309995
259.307570,-43.310260
259.306647,-43.303413
259.303229,-43.304243
259.303027,-43.301735
259.301713,-43.299310
259.295461,-43.303185
259.298223,-43.297017
259.295804,-43.298184
259.297703,-43.296022
259.296967,-43.296097
259.302515,-43.300578
259.297130,-43.302217
259.313830,-43.316299
142.581404,-50.236739
142.584337,-50.227799
142.573704,-50.236828
