# Completeness = 8372 / 10000
RA	Dec	magnitude
167.329255	36.309276	4.433679
172.266865	39.337027	5.359505
167.415478	44.498364	2.680030
163.495022	43.189852	4.652270
176.511644	47.779532	3.328719
170.706357	43.482651	4.725930
143.555796	36.397457	4.297111
142.884748	35.102839	4.718575
155.581761	41.499664	2.324510
154.273152	42.914194	3.446242
139.710831	36.802035	3.928573
135.157358	41.781756	3.959608
160.885311	46.203577	5.087954
176.731866	55.628045	4.887915
173.770484	54.785425	5.353157
157.655174	55.980394	4.673892
163.393045	54.585086	4.679033
165.460974	56.382577	2.398536
116.111711	24.397771	3.339139
113.980461	26.895273	3.386472
110.030594	21.982239	3.457126
111.431035	27.797701	3.506550
115.828345	28.882490	3.968050
116.876256	33.415571	4.415376
107.784718	30.244948	4.020316
108.988134	27.897412	4.990350
112.278790	31.785435	4.094832
114.791189	34.583839	4.771060
120.916362	36.344821	5.094866
125.708659	43.187683	3.613737
116.663826	37.517453	4.318050
114.324056	40.025156	5.634012
122.113958	51.506646	4.791666
103.197236	33.961047	3.593621
99.136824	38.445417	4.140064
99.664605	39.390368	5.245038
107.914121	39.320564	4.351715
102.691278	41.780621	4.603870
111.035258	40.672295	4.863514
99.832610	42.488629	4.431006
90.244037	47.901831	5.676159
96.224589	49.287883	4.122197
100.770442	44.524316	4.462248
97.512343	46.685592	5.364408
108.347549	51.428810	4.478184
111.678482	49.211310	4.587110
112.048394	45.990601	4.755148
108.977883	59.636318	4.895882
111.237902	51.887107	5.152694
101.914926	48.789505	4.914047
92.496034	58.935776	5.031928
95.442378	53.451782	5.225124
94.478342	61.515276	3.772192
94.905679	59.011091	4.436156
96.703579	58.417400	4.595938
134.798964	48.040871	3.120973
143.207540	51.674906	3.071743
146.631940	57.128216	4.028175
129.591872	53.401478	5.379739
125.951877	53.219275	5.499505
147.744782	59.038060	3.705446
156.032599	65.566329	4.911254
172.850404	69.330992	3.102934
160.483930	65.715984	4.762891
142.883175	63.061979	3.582016
143.619422	69.830684	4.322646
160.766845	69.076156	4.510800
115.751413	58.710126	4.914018
122.515574	58.247923	5.463986
130.052791	64.328054	4.222566
123.203279	68.474108	5.071514
94.711596	69.319288	4.756203
93.212828	65.718282	4.922014
105.339423	70.808225	5.265241
112.719412	68.465457	5.294878
135.635961	67.629696	3.803254
145.737886	72.252498	4.888855
158.772512	75.712908	4.596746
149.593647	72.879355	5.566792
105.018260	76.977349	4.077846
120.048779	73.917751	4.875509
112.768493	82.411282	3.779588
144.271550	81.326307	3.785223
225.724909	2.091365	4.094921
233.700271	10.538881	4.084449
234.123418	10.009596	5.014866
220.411417	8.161779	4.579062
237.184660	18.141172	3.348804
236.547201	15.421607	3.653779
239.114697	15.655913	3.694426
245.479838	19.153320	3.691747
242.908378	23.494748	4.393531
242.018698	17.046948	4.744740
231.447428	15.428002	4.413493
214.937824	16.307211	4.480300
214.368615	15.263415	4.997034
221.309975	16.964043	4.340529
222.848051	19.100270	4.480483
207.368908	15.798083	3.410040
206.813391	17.457174	4.356021
216.048537	25.703505	4.370626
226.110558	26.947626	4.109814
225.527094	25.007920	4.218185
228.876127	33.314335	3.211280
231.956281	29.106104	3.604429
221.246486	27.074316	2.183352
217.956938	30.371969	3.164287
225.486272	40.390434	3.244982
225.627636	31.683937	5.096460
247.554529	21.489545	2.547638
252.938636	24.656457	4.678733
255.072142	30.926523	3.913435
252.662299	29.806528	5.051331
245.523762	30.892473	4.592602
240.360493	29.851030	4.954191
245.589296	33.798882	4.374620
245.621713	33.703701	4.784998
258.761657	36.809175	2.702518
260.920340	37.145940	4.473285
269.202294	45.350708	4.598965
268.325156	40.008186	4.805308
250.724223	38.921875	3.244630
248.525667	42.437206	4.132682
264.866151	46.006348	3.790645
260.087806	46.240959	4.841345
233.812303	39.010106	4.375866
237.808000	35.655833	4.511343
247.160794	41.881651	2.723670
244.935069	46.313533	3.887130
231.121793	37.377554	4.150256
232.732394	40.833011	4.360903
240.662772	47.240631	3.658457
249.686529	48.928459	4.015113
252.309385	45.983097	4.833403
262.608058	52.301443	2.548286
268.382968	56.872993	3.384271
251.324341	56.782119	4.722477
249.501906	56.015855	4.975124
204.246046	24.613284	4.892537
207.947702	34.444095	3.766288
209.142562	27.491867	4.503571
197.964282	27.882105	4.093279
203.699681	37.182372	4.781243
204.364596	36.295002	4.896560
214.499270	35.509569	4.505902
218.018818	38.308923	3.022188
219.551814	43.642265	5.173793
206.748299	38.542596	5.225536
211.982385	43.854315	3.792248
214.094707	46.089012	4.169044
194.005616	38.318621	2.904393
188.412278	33.247441	5.145117
193.735384	47.196687	4.211225
199.384853	40.572688	4.652891
203.612716	49.016096	4.650836
200.982373	54.925259	2.282647
205.184320	54.681588	3.797435
200.985560	54.921690	3.913775
183.857348	57.032653	3.311102
186.263253	56.777774	4.886199
195.183115	56.366354	4.885962
187.488341	58.406145	5.315717
239.446507	54.750240	4.881935
226.570023	54.556372	4.984056
216.297456	51.848967	3.917229
231.232320	58.966143	2.972920
224.395007	65.932598	3.169796
245.997707	61.514464	2.494415
240.469544	58.566735	3.869275
257.196437	65.714791	3.157012
250.229658	64.588973	4.465789
228.662305	67.344976	5.009258
236.667077	62.599306	5.182029
265.484873	72.147661	4.444496
267.363362	76.963978	4.895288
246.995596	68.768290	4.926309
207.858082	64.723278	3.538004
188.369844	69.788284	3.893484
187.527041	69.200880	4.034973
183.049992	77.616330	5.061902
201.533930	72.391429	5.081590
230.181871	71.834102	3.021868
251.493289	82.037269	3.969046
236.015079	77.794484	4.267973
216.881595	75.696086	3.744546
212.211557	77.547658	4.323840
263.054908	86.586700	4.321091
192.306007	83.412990	5.317452
318.956210	5.247493	3.782287
316.144440	5.502868	4.984289
317.585622	10.130905	4.653583
320.270302	7.354426	5.005131
308.303270	11.303179	4.015604
309.783879	10.086337	4.896788
311.664442	16.123416	3.989937
310.864628	15.074388	4.329188
315.115295	19.329316	4.795924
326.127939	17.349971	4.023013
327.536541	17.285561	5.205139
331.874970	18.000566	5.360582
329.099942	21.239924	5.620723
320.522162	19.804790	3.772009
322.249222	22.179464	4.308809
322.487178	23.638856	3.769129
326.037043	28.741565	4.621347
308.827443	14.674266	4.614309
303.569500	15.197862	4.923669
305.089274	17.792785	5.224592
309.909829	15.912024	3.735891
309.478198	18.268857	3.792551
311.367697	18.090001	4.558765
296.846974	18.534315	2.836823
299.689591	19.492247	2.859363
300.013789	17.516449	4.095845
295.262284	17.475895	4.113627
303.942063	27.814253	4.037718
303.816268	25.591938	4.766654
