# Completeness = 26 / 54
RA	Dec	magnitude
59.356089	63.072292	4.933300
55.678052	59.969400	5.003071
65.167723	65.140422	5.049634
64.283966	57.860204	5.410627
64.433081	62.346628	5.669999
85.610200	65.697553	5.254742
72.805580	68.168776	5.267176
72.274503	61.507294	5.674188
56.509693	63.344988	4.491409
57.589878	71.332080	4.575176
49.997081	65.652226	4.659038
61.513354	68.679985	5.236513
57.307538	70.870773	5.384936
84.931996	75.043992	5.495653
76.053557	73.763827	5.548585
81.247443	73.707189	5.621832
63.436895	72.126000	5.780776
79.555139	73.267972	5.805420
