# Completeness = 21 / 46
RA	Dec	magnitude
21.405341	-14.598866	4.511536
23.995786	-15.400119	5.035686
21.714917	-13.056468	5.435700
27.395593	-10.686824	4.568229
31.052193	-11.859777	5.799038
29.615396	-7.078243	5.861298
32.842484	-10.052920	5.904439
12.530589	-10.645349	5.029543
13.926633	-7.347347	5.279667
14.682634	-11.380039	5.358468
16.521590	-9.839327	5.572083
16.943209	-9.785475	5.608706
26.496870	-5.733429	4.780030
23.429264	-7.025711	5.601216
25.978211	-4.765649	5.613664
24.467067	-3.440726	5.715934
21.202887	-2.848713	5.908588
