# Completeness = 31 / 61
RA	Dec	magnitude
209.081509	-46.593354	5.507075
216.227239	-46.528707	5.596503
208.800382	-52.160917	5.648656
209.823058	-50.369725	5.670450
207.946620	-46.898737	5.734039
215.040364	-43.058808	5.412360
221.771529	-38.291001	5.439885
217.535712	-45.321478	5.484575
219.580920	-38.794296	5.549893
217.795193	-38.869592	5.705048
219.183747	-40.211680	5.721360
211.511393	-41.179722	4.308290
204.920085	-39.747623	5.089752
204.951999	-40.051952	5.184935
213.676976	-41.837574	5.369285
205.728908	-41.401275	5.690416
210.329257	-40.221936	5.708094
215.759187	-39.511910	4.362966
214.934801	-36.858302	4.873595
215.582025	-34.786787	5.539803
