# Completeness = 25 / 51
RA	Dec	magnitude
88.708586	-52.634397	5.213725
82.539631	-47.078242	5.350806
82.900114	-45.925160	5.423465
80.154041	-43.533770	5.676137
81.231551	-44.225657	5.743256
83.214496	-38.513418	5.097193
89.656374	-44.034515	5.545475
86.872797	-41.590249	5.692072
84.681281	-40.707242	5.788716
81.772219	-40.943099	5.828556
70.934531	-41.064738	5.708333
71.480707	-39.356703	5.747452
75.393812	-39.717900	5.789877
79.371724	-34.896710	4.538940
83.281322	-35.139494	5.446808
78.620251	-35.976935	5.486539
77.195916	-34.516943	5.525177
