# Completeness = 31 / 61
RA	Dec	magnitude
112.342093	-10.326684	5.113252
111.167424	-16.201565	5.153087
110.242800	-14.360492	5.332023
109.060427	-15.585755	5.441996
111.783281	-17.864856	5.559484
117.416541	-14.085364	5.568938
116.985845	-12.192360	5.566444
114.069775	-8.311286	5.597804
117.730173	-11.128745	5.863878
118.199351	-5.428330	5.938530
115.148090	-8.185544	5.999576
107.014288	-11.923266	5.500237
108.930309	-10.583603	5.611368
104.529665	-9.027229	5.629495
105.098955	-8.406806	5.936624
108.617702	-10.316240	5.970721
112.327734	-1.905374	5.049998
108.545052	-3.901813	5.290968
109.381813	-6.679938	5.647465
110.605738	-5.982867	5.738196
