# Completeness = 29 / 55
RA	Dec	magnitude
259.654161	10.864041	4.438960
258.115876	10.585039	4.540046
261.476452	16.917649	4.760610
256.344771	12.740775	4.848533
263.428354	14.841272	5.095220
265.494289	15.952883	5.458743
261.704708	20.081047	5.493369
263.344967	19.256273	5.521005
264.379490	24.310014	5.719236
253.730145	20.958502	5.134241
255.242186	22.631995	5.291079
255.969294	19.690549	5.779811
256.574723	22.083985	5.145234
260.041095	25.537560	5.348935
259.702432	28.822935	5.423873
255.578172	25.506057	5.490970
258.922611	23.742848	5.577447
261.027236	22.960113	5.666976
