# Completeness = 23 / 50
RA	Dec	magnitude
359.396969	-64.298504	4.978343
350.737301	-60.055854	5.102149
356.050349	-64.404299	5.248549
351.812918	-58.475798	5.363312
349.242035	-62.001314	5.519003
351.331793	-56.849071	5.315298
351.652724	-52.721044	5.422699
346.789395	-49.606129	5.825331
350.209383	-50.306877	6.061576
350.977729	-53.808895	6.083258
334.568363	-53.629873	5.230532
340.204281	-57.422344	5.465066
342.504174	-55.234177	5.997165
337.317539	-43.495576	3.699737
345.219560	-52.754190	3.841697
341.419736	-46.547386	5.103686
345.282202	-50.950027	5.188601
335.784769	-45.928747	5.539716
