# Completeness = 82 / 127
RA	Dec	magnitude
168.149999	-60.317617	4.431382
175.223327	-62.090097	4.588911
174.391275	-60.903199	4.631349
172.941913	-59.442054	4.723902
169.681915	-58.186384	4.789421
175.879910	-62.489391	4.791573
168.014316	-58.423363	4.824206
174.250069	-61.283438	4.826005
172.953270	-59.515642	4.959113
175.176930	-53.968712	5.121950
168.414011	-53.231654	5.331938
168.137045	-49.100848	5.343214
179.563266	-56.317305	5.412584
178.041960	-56.987586	5.547528
156.851899	-57.638789	4.483113
155.228218	-56.043214	4.491403
154.166936	-51.204586	4.754142
157.837767	-53.714552	4.757292
152.234220	-51.811259	4.799441
159.747772	-58.816794	5.047597
156.703733	-54.877290	5.052071
161.739308	-56.757193	5.119607
163.128474	-57.240389	5.175163
155.069588	-47.699072	4.978791
161.420951	-47.459801	5.414826
157.008856	-49.406005	5.523952
166.129237	-47.678961	5.614189
158.139954	-44.618607	5.678656
157.989228	-45.066723	5.702903
158.793099	-43.664449	5.830556
