# Completeness = 24 / 51
RA	Dec	magnitude
44.522867	20.668593	5.690482
42.191559	25.188041	5.883260
48.835087	30.556701	5.589027
47.403190	29.077026	5.675223
49.982352	27.070806	5.683956
52.086401	33.807299	5.704680
49.146622	32.183634	5.709326
40.863019	27.707099	4.614954
36.865586	31.801156	5.220530
37.041503	29.668947	5.221282
40.171465	27.060824	5.276918
43.921986	31.043044	5.643720
44.690437	39.662542	4.648067
44.322017	31.934087	5.088136
43.427860	38.337105	5.266963
44.916248	41.032732	5.378367
44.509664	38.614852	5.579352
42.720379	35.393914	5.967968
