# Completeness = 31 / 63
RA	Dec	magnitude
238.402913	-25.327246	4.670864
233.063179	-23.880184	5.044266
238.474576	-24.533271	5.339675
238.482701	-23.978203	5.360590
239.645216	-24.831599	5.394046
234.450024	-23.142063	5.502065
234.568147	-21.016593	5.518943
242.998856	-19.460816	4.281346
241.360615	-19.801971	4.804584
238.333496	-20.167154	4.975765
242.998868	-19.460447	5.313425
240.078721	-16.535093	5.337779
239.418552	-20.983174	5.809731
234.727730	-19.302238	5.110125
233.230029	-16.852895	5.477847
233.152829	-19.670631	5.478084
232.668444	-16.609470	5.529325
230.757440	-15.133951	5.776628
239.547304	-14.279428	4.742310
236.018170	-15.673116	5.357767
239.271738	-16.034564	5.525945
