# Completeness = 45 / 85
RA	Dec	magnitude
91.246345	-16.484452	4.658218
90.460063	-10.597913	4.961215
93.937082	-13.718462	4.966546
88.682135	-11.774070	4.988347
94.703303	-15.024899	5.228614
92.393773	-14.584484	5.241391
96.042746	-11.530236	4.807923
94.710777	-9.390119	5.000932
97.958547	-8.158313	5.007043
94.928309	-7.822912	5.212659
95.899648	-9.874713	5.268383
97.206689	-7.034668	5.379162
97.546952	-10.081522	5.467457
83.761181	-6.002023	4.716486
84.721111	-7.213049	4.739983
83.818620	-5.389696	4.960960
89.768015	-9.558458	4.998930
83.845427	-5.416054	5.001814
81.257285	-10.328972	5.010555
91.056234	-6.708935	5.187592
87.841599	-7.518006	5.307643
91.661373	-4.193855	5.338473
88.875836	-4.616633	5.549112
93.475894	-3.741277	5.602404
87.145858	-4.095664	5.805881
93.652899	-4.568447	5.808224
89.548836	-0.994110	5.901356
